##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BAC_R2_001_fastq
1114	8	0.1944662668037509
1114	9	0.21666824454582922
1114	10-14	0.19351577511410056
1114	15-19	0.22531870036407753
1114	20-24	0.24197678119172394
1114	25-29	0.16878760188544106
1114	30-34	0.23550191013046629
1114	35-39	0.2072040319718127
1114	40-44	0.164266724447252
1114	45-49	0.19803221693034345
1114	50-54	0.286329120089853
1114	55-59	0.2126134322386406
1114	60-64	0.2714495149772773
1114	65-69	0.2455573722706177
1114	70-74	0.2646118485454423
1114	75-79	0.26496843267338477
1114	80-84	0.30552360515449095
1114	85-89	0.31213417159212753
1114	90-94	0.2641299687598604
1114	95-99	0.3940152598148572
1114	100-104	0.1777820362849809
1114	105-109	0.2747098834388382
1114	110-114	0.3215307239058447
1114	115-119	0.29222961356654054
1114	120-124	0.25116699409334586
1114	125-129	0.31048056122791223
1114	130-134	0.2968384017773502
1114	135-139	0.20864503157546466
1114	140-144	0.23615883739405774
1114	145-149	0.3053402932932414
1114	150-151	0.3308077008254777
1201	1	0.19834916339004138
1201	2	0.10294953408448748
1201	3	0.07089235581405262
1201	4	0.10124838390162694
1201	5	0.06101295011763597
1201	6	0.0972139902783411
1201	7	-0.008540599430801876
1201	8	0.2633876413806959
1201	9	0.18986473717237118
1201	10-14	0.1460334909979366
1201	15-19	0.1888162110206295
1201	20-24	0.1902241077652107
1201	25-29	0.2611209644919228
1201	30-34	0.2672327638030083
1201	35-39	0.19143795165521027
1201	40-44	0.2475803757137669
1201	45-49	0.2902527154859058
1201	50-54	0.25465760176484054
1201	55-59	0.299614039263119
1201	60-64	0.33968211087777433
1201	65-69	0.32917181025445075
1201	70-74	0.3109983429630674
1201	75-79	0.3061067107747988
1201	80-84	0.4157416719862823
1201	85-89	0.3944700941133803
1201	90-94	0.32602290126194333
1201	95-99	0.5371323901940102
1201	100-104	0.4042851681074353
1201	105-109	0.5608981099078321
1201	110-114	0.5412560499596637
1201	115-119	0.6237941998681364
1201	120-124	0.5153410807403134
1201	125-129	0.6055401175302038
1201	130-134	0.5722613102904575
1201	135-139	0.6131425621966855
1201	140-144	0.6708109737322729
1201	145-149	0.7664098240000001
1201	150-151	0.5797632775703683
1202	1	0.36302103917098805
1202	2	0.13612015201427852
1202	3	0.28848061364855226
1202	4	0.15870969040079785
1202	5	0.20011712684988225
1202	6	0.13381246086461118
1202	7	0.1206498775530207
1202	8	0.12981717672548143
1202	9	0.16630959997496575
1202	10-14	0.2549199178676389
1202	15-19	0.2969870788546274
1202	20-24	0.28107461507074305
1202	25-29	0.29232566935505844
1202	30-34	0.282398450289854
1202	35-39	0.31335624835620735
1202	40-44	0.2317940823900102
1202	45-49	0.2615870135113241
1202	50-54	0.3130215997880512
1202	55-59	0.35540469188959634
1202	60-64	0.3854506724203617
1202	65-69	0.3357046651921962
1202	70-74	0.4009936537435479
1202	75-79	0.4509903153177959
1202	80-84	0.4655550041848713
1202	85-89	0.47086762925346193
1202	90-94	0.46652825629151096
1202	95-99	0.5189876951367509
1202	100-104	0.5162510449592119
1202	105-109	0.478764473933353
1202	110-114	0.5881404855691699
1202	115-119	0.5623888100081302
1202	120-124	0.600386621540622
1202	125-129	0.661982899765917
1202	130-134	0.6207736781068434
1202	135-139	0.7755751570325984
1202	140-144	0.8374073455635269
1202	145-149	0.764960315050395
1202	150-151	0.7094729927645425
1203	1	0.20910612741165835
1203	2	0.149351526754117
1203	3	0.09579903403243151
1203	4	0.15043903107929424
1203	5	0.10685399681067054
1203	6	0.12584423296573277
1203	7	0.1870780994452801
1203	8	0.21933603773513966
1203	9	0.2157638582724033
1203	10-14	0.18964496780031936
1203	15-19	0.23466419550704387
1203	20-24	0.2951262510357253
1203	25-29	0.21729915410012524
1203	30-34	0.21563402546610888
1203	35-39	0.2606535791993423
1203	40-44	0.2890168363300134
1203	45-49	0.27428229829249773
1203	50-54	0.3065312860901557
1203	55-59	0.3703296127780007
1203	60-64	0.27969543475342107
1203	65-69	0.2733178387736146
1203	70-74	0.3403147522622447
1203	75-79	0.3644570092439281
1203	80-84	0.3735615729172679
1203	85-89	0.4156501977740916
1203	90-94	0.3400858033359597
1203	95-99	0.47608369782187054
1203	100-104	0.4528753301624775
1203	105-109	0.46820388575677896
1203	110-114	0.44481743806971963
1203	115-119	0.5633512806053744
1203	120-124	0.5026800909291183
1203	125-129	0.6026646962691018
1203	130-134	0.5930632991940428
1203	135-139	0.6020719064684741
1203	140-144	0.619435073845743
1203	145-149	0.692604429140232
1203	150-151	0.6566921670904833
1204	1	0.30578257118919083
1204	2	0.2309827322182656
1204	3	0.1861329518531889
1204	4	0.3171534785022416
1204	5	0.21373793010564412
1204	6	0.21607935228603736
1204	7	0.3020119994485313
1204	8	0.3097467988340341
1204	9	0.22830366794595847
1204	10-14	0.2448496854709461
1204	15-19	0.25746621386752366
1204	20-24	0.228998134713585
1204	25-29	0.19715962866225567
1204	30-34	0.19866297638225916
1204	35-39	0.16578428286813107
1204	40-44	0.27147931884467624
1204	45-49	0.257734080358901
1204	50-54	0.2746517058754776
1204	55-59	0.31264030337369064
1204	60-64	0.34408017515533373
1204	65-69	0.30692781601265295
1204	70-74	0.34333471472560007
1204	75-79	0.4208395051948415
1204	80-84	0.40532238883945126
1204	85-89	0.23575023497890157
1204	90-94	0.2856526117241671
1204	95-99	0.3970275997275081
1204	100-104	0.22349968247654317
1204	105-109	0.36841562676755046
1204	110-114	0.3162255005985912
1204	115-119	0.38935718857596413
1204	120-124	0.46109539057085414
1204	125-129	0.3755328988659059
1204	130-134	0.3807653830727489
1204	135-139	0.436914526268005
1204	140-144	0.5134474341083717
1204	145-149	0.6668929704198874
1204	150-151	0.7523988969054081
1205	1	0.15766055232981557
1205	2	0.20634488919169058
1205	3	0.08279493680932859
1205	4	0.11187031838644401
1205	5	0.24914960080358384
1205	6	0.20243698868487314
1205	7	0.15398571344790923
1205	8	0.11010929001000846
1205	9	0.18187581882611425
1205	10-14	0.18270474333542097
1205	15-19	0.19000145714326067
1205	20-24	0.24882898078936933
1205	25-29	0.21110281767902705
1205	30-34	0.06787446967254596
1205	35-39	0.21481156595633166
1205	40-44	0.22393533177507408
1205	45-49	0.1992023066524169
1205	50-54	0.2213163113063601
1205	55-59	0.23491994324210452
1205	60-64	0.23699212012560622
1205	65-69	0.24358896540606878
1205	70-74	0.20855695819822984
1205	75-79	0.2848485749022771
1205	80-84	0.24441396370004753
1205	85-89	0.27230963433097344
1205	90-94	0.2807282699518012
1205	95-99	0.3252371567560246
1205	100-104	0.36740015237466395
1205	105-109	0.41111424057989865
1205	110-114	0.4919674545309576
1205	115-119	0.416060117423406
1205	120-124	0.4246234812595162
1205	125-129	0.375828746950603
1205	130-134	0.4353767715561361
1205	135-139	0.4216140458374795
1205	140-144	0.5279273293609918
1205	145-149	0.4770988375674534
1205	150-151	0.6093154519042052
1206	1	-4.15846071632323
1206	2	-4.289052238883858
1206	3	-4.2968839444901015
1206	4	-4.292304736369822
1206	5	-3.8076995080418428
1206	6	-4.5120107945964065
1206	7	-4.738598526586255
1206	8	-4.380887657807712
1206	9	-4.085805093325739
1206	10-14	-4.5930291284099525
1206	15-19	-9.84635886960358
1206	20-24	-13.391113871967931
1206	25-29	-13.498599028783026
1206	30-34	-13.420239533566583
1206	35-39	-13.390211428463218
1206	40-44	-13.358932046679929
1206	45-49	-13.37780492268205
1206	50-54	-13.409836904953377
1206	55-59	-13.348326981655784
1206	60-64	-13.35197529988941
1206	65-69	-13.352628479986755
1206	70-74	-13.321351455560546
1206	75-79	-13.345595383533851
1206	80-84	-13.303464231189377
1206	85-89	-13.314730818183492
1206	90-94	-13.43822944604252
1206	95-99	-13.257855656889863
1206	100-104	-13.3206421632405
1206	105-109	-13.369043969107167
1206	110-114	-13.362299648440953
1206	115-119	-13.311119785731165
1206	120-124	-13.239324611915258
1206	125-129	-13.344265528342625
1206	130-134	-13.36318613031866
1206	135-139	-13.293903092723156
1206	140-144	-13.361704993039524
1206	145-149	-13.50594004706089
1206	150-151	-17.534548283128622
1207	1	0.27408404257744223
1207	2	0.1584053387323081
1207	3	0.25834255161083775
1207	4	0.18086328839725496
1207	5	0.30794347218538576
1207	6	0.011260913105338943
1207	7	0.33902348340235733
1207	8	0.10457336617078994
1207	9	0.20691957737141564
1207	10-14	0.2132742098884819
1207	15-19	0.21507691999308065
1207	20-24	0.2427831460524672
1207	25-29	0.19482776522380618
1207	30-34	0.2530295455537157
1207	35-39	0.19529025822146195
1207	40-44	0.20439470715827923
1207	45-49	0.16585870019461169
1207	50-54	0.23193062759368388
1207	55-59	0.2593294701720623
1207	60-64	0.3810195704904231
1207	65-69	0.28629599667301875
1207	70-74	0.3171786900952469
1207	75-79	0.33082835301073743
1207	80-84	0.35689713150794233
1207	85-89	0.3996301404215714
1207	90-94	0.3911847561537911
1207	95-99	0.4522420904202491
1207	100-104	0.45487094028275266
1207	105-109	0.4059017678875705
1207	110-114	0.5243065083012866
1207	115-119	0.5141576185490067
1207	120-124	0.5430458897081678
1207	125-129	0.5601180543127597
1207	130-134	0.6437954833587085
1207	135-139	0.47756393903240024
1207	140-144	0.5854930032202716
1207	145-149	0.5378228487073713
1207	150-151	0.14757791590643166
1208	1	0.3959341059796415
1208	2	0.32893804530180404
1208	3	0.36294807037746324
1208	4	0.4035360860780628
1208	5	0.19264966596129085
1208	6	0.26490899460171136
1208	7	0.29263442017520447
1208	8	0.19685793744810098
1208	9	0.27846543829645043
